Persona1, 14:10:43.696321
Persona16, 14:10:44.060879
Persona7, 14:11:02.585975
Persona15, 14:11:10.871409
Persona14, 14:11:12.171269
Persona11, 14:11:12.678260
Persona28, 14:11:21.931631
Persona20, 14:11:34.523455
Persona36, 14:11:38.040144
Persona39, 14:11:51.476305
Persona26, 14:11:51.588780
Persona38, 14:11:51.636590
Persona24, 14:11:51.637604
Persona31, 14:11:51.667340
Persona58, 14:11:52.569979
Persona3, 14:11:52.748403
Persona40, 14:11:54.872469
Persona133, 14:11:55.703841
Persona67, 14:11:56.570985
Persona19, 14:11:56.934298
Persona23, 14:11:57.749993
Persona83, 14:11:58.873973
Persona115, 14:11:59.706211
Persona90, 14:12:00.571867
Persona51, 14:12:00.639336
Persona6, 14:12:01.702534
Persona29, 14:12:01.705148
Persona13, 14:12:01.706174
Persona18, 14:12:02.751593
Persona91, 14:12:02.875231
Persona64, 14:12:03.707803
Persona116, 14:12:04.572495
Persona2, 14:12:06.876741
Persona4, 14:12:06.936337
Persona101, 14:12:07.709213
Persona12, 14:12:07.753055
Persona122, 14:12:08.573597
Persona9, 14:12:08.705399
Persona63, 14:12:09.593669
Persona44, 14:12:09.607084
Persona46, 14:12:09.639602
Persona27, 14:12:09.640123
Persona80, 14:12:09.641642
Persona32, 14:12:09.669602
Persona50, 14:12:09.781645
Persona42, 14:12:12.705842
Persona48, 14:12:12.712782
Persona99, 14:12:15.939359
Persona68, 14:12:18.464762
Persona56, 14:12:18.480970
Persona61, 14:12:18.594299
Persona100, 14:12:18.594823
Persona93, 14:12:18.608448
Persona70, 14:12:18.640949
Persona60, 14:12:18.641468
Persona71, 14:12:18.642999
Persona118, 14:12:18.670735
Persona131, 14:12:18.783411
Persona52, 14:12:19.713241
Persona113, 14:12:21.757984
Persona78, 14:12:27.466165
Persona140, 14:12:27.481967
Persona65, 14:12:27.595728
Persona146, 14:12:27.596285
Persona92, 14:12:27.609583
Persona108, 14:12:27.642566
Persona8, 14:12:27.642566
Persona124, 14:12:27.644095
Persona129, 14:12:27.671955
Persona94, 14:12:27.785038
Persona10, 14:12:29.708032
Persona21, 14:12:29.713479
Persona102, 14:12:33.719156
Persona142, 14:12:36.467543
Persona147, 14:12:36.483389
Persona41, 14:12:36.597036
Persona81, 14:12:36.597576
Persona120, 14:12:36.610604
Persona34, 14:12:36.715849
Persona105, 14:12:38.720572
Persona66, 14:12:40.716902
Persona128, 14:12:40.944039
Persona73, 14:12:41.944999
Persona30, 14:12:42.762033
Persona126, 14:12:45.720786
Persona35, 14:12:46.946224
Persona136, 14:12:47.720468
Persona37, 14:12:47.763740
Persona45, 14:12:50.711924
Persona96, 14:12:50.718467
Persona53, 14:12:50.721658
Persona57, 14:12:51.947292
Persona138, 14:12:52.722738
Persona75, 14:12:52.765602
Persona145, 14:12:54.722950
Persona84, 14:12:56.948387
Persona54, 14:12:57.721052
Persona59, 14:12:57.723077
Persona104, 14:12:57.766748
Persona148, 14:13:01.715544
Persona69, 14:13:01.949406
Persona106, 14:13:02.767937
Persona62, 14:13:04.714973
Persona72, 14:13:04.720983
Persona76, 14:13:04.721509
Persona77, 14:13:04.722517
Persona82, 14:13:04.724036
Persona150, 14:13:06.722829
Persona110, 14:13:06.950743
Persona74, 14:13:07.769268
Persona98, 14:13:11.716667
Persona85, 14:13:11.722740
Persona22, 14:13:11.723748
Persona125, 14:13:11.724760
Persona137, 14:13:11.951833
Persona95, 14:13:12.770523
Persona5, 14:13:16.952910
Persona17, 14:13:17.771895
Persona33, 14:13:18.718078
Persona143, 14:13:18.723109
Persona103, 14:13:18.723661
Persona49, 14:13:18.725181
Persona111, 14:13:18.726192
Persona107, 14:13:21.953799
Persona86, 14:13:22.773152
Persona112, 14:13:25.719687
Persona119, 14:13:25.724708
Persona88, 14:13:25.725214
Persona87, 14:13:25.726229
Persona123, 14:13:25.727307
Persona117, 14:13:26.955523
Persona25, 14:13:27.774333
Persona43, 14:13:31.956443
Persona109, 14:13:32.721622
Persona114, 14:13:32.726157
Persona135, 14:13:32.727176
Persona139, 14:13:32.728212
Persona130, 14:13:32.728774
Persona47, 14:13:32.775812
Persona55, 14:13:36.958497
Persona79, 14:13:37.778112
Persona89, 14:13:41.960403
Persona121, 14:13:42.779379
Persona97, 14:13:46.961526
Persona134, 14:13:47.780687
Persona127, 14:13:51.963046
Persona132, 14:13:52.782059
Persona141, 14:13:56.964030
Persona149, 14:13:57.783165
Persona144, 14:14:01.964873
