Persona3, 14:10:10.541425, 14:10:10.666421
Persona4, 14:10:10.714455, 14:10:11.205420
Persona10, 14:10:12.111422, 14:10:12.379427
Persona12, 14:10:12.943430, 14:10:13.338426
Persona18, 14:10:16.655545, 14:10:17.191544
Persona19, 14:10:17.223545, 14:10:17.840739
Persona21, 14:10:19.837737, 14:10:22.074128
Persona23, 14:10:23.650322, 14:10:24.059321
Persona24, 14:10:24.090323, 14:10:26.483319
Persona26, 14:10:29.876129, 14:10:30.864168
Persona27, 14:10:30.880169, 14:10:40.901299
Persona30, 14:10:33.027169, 14:10:41.512227
Persona35, 14:10:35.751196, 14:10:42.806785
Persona37, 14:10:36.372162, 14:10:42.997787
Persona40, 14:10:38.156205, 14:10:42.949785
Persona32, 14:10:33.866129, 14:10:42.869786
Persona11, 14:10:46.010840, 14:10:47.066845
Persona14, 14:10:52.421898, 14:10:52.996892
Persona54, 14:10:57.654894, 14:10:58.176894
Persona15, 14:10:58.906936, 14:11:00.365897
Persona64, 14:11:05.964325, 14:11:10.886999
Persona60, 14:11:04.963328, 14:11:12.313246
Persona62, 14:11:05.315363, 14:11:12.423261
Persona70, 14:11:06.218442, 14:11:13.108220
Persona72, 14:11:06.839441, 14:11:13.156220
Persona20, 14:11:07.634961, 14:11:13.219225
Persona115, 14:11:11.187218, 14:11:15.965721
Persona83, 14:11:10.017819, 14:11:15.918713
Persona90, 14:11:13.871524, 14:11:19.796961
Persona91, 14:11:14.142559, 14:11:23.181135
Persona24, 14:11:28.755827, 14:11:33.222347
Persona26, 14:11:27.209824, 14:11:34.174425
Persona92, 14:11:25.367054, 14:11:34.348422
Persona38, 14:11:26.845213, 14:11:34.555462
Persona39, 14:11:28.215784, 14:11:34.619419
Persona31, 14:11:29.912422, 14:11:34.745453
Persona95, 14:11:32.352261, 14:11:35.532941
Persona96, 14:11:32.622217, 14:11:36.533507
Persona98, 14:11:33.856422, 14:11:38.755134
Persona100, 14:11:37.659627, 14:11:40.419656
Persona101, 14:11:44.239144, 14:11:51.460696
Persona107, 14:11:45.599144, 14:11:51.476305
Persona108, 14:11:45.994987, 14:11:51.588780
Persona86, 14:11:47.326040, 14:11:51.589786
Persona117, 14:11:47.700460, 14:11:51.604391
Persona122, 14:11:47.700460, 14:11:51.636590
Persona51, 14:11:47.700460, 14:11:51.637604
Persona124, 14:11:47.702461, 14:11:51.638601
Persona125, 14:11:47.703463, 14:11:51.667340
Persona129, 14:11:47.705031, 14:11:51.779430
Persona142, 14:11:51.460696, 14:12:00.461917
Persona143, 14:11:51.477312, 14:12:00.477591
Persona147, 14:11:51.589786, 14:12:00.590455
Persona63, 14:12:00.590455, 14:12:00.591001
Persona44, 14:11:51.604391, 14:12:00.605734
Persona46, 14:11:51.637604, 14:12:00.637812
Persona27, 14:11:51.638601, 14:12:00.639336
Persona80, 14:11:51.639600, 14:12:00.640343
Persona32, 14:11:51.668353, 14:12:00.668858
Persona50, 14:11:51.779430, 14:12:00.780353
Persona68, 14:12:00.461917, 14:12:09.463281
Persona56, 14:12:00.477591, 14:12:09.479348
Persona61, 14:11:51.589786, 14:12:09.592101
Persona100, 14:12:09.592101, 14:12:09.593669
Persona93, 14:12:00.605734, 14:12:09.607084
Persona70, 14:12:00.638330, 14:12:09.639602
Persona60, 14:12:00.640343, 14:12:09.640123
Persona71, 14:12:00.641486, 14:12:09.641642
Persona118, 14:12:00.668858, 14:12:09.669602
Persona131, 14:12:00.780353, 14:12:09.781645
Persona78, 14:12:09.463281, 14:12:18.464762
Persona140, 14:12:09.479348, 14:12:18.480970
Persona65, 14:12:00.591001, 14:12:18.594299
Persona146, 14:12:09.593669, 14:12:18.594823
Persona92, 14:12:09.608118, 14:12:18.608448
Persona8, 14:12:09.640123, 14:12:18.640949
Persona108, 14:12:09.641642, 14:12:18.641468
Persona124, 14:12:09.643671, 14:12:18.642999
Persona129, 14:12:09.670609, 14:12:18.670735
Persona94, 14:12:09.782943, 14:12:18.783411
Persona142, 14:12:18.465362, 14:12:27.466165
Persona147, 14:12:18.480970, 14:12:27.481967
Persona41, 14:12:22.706229, 14:12:27.595728
Persona81, 14:12:22.712257, 14:12:27.596285
Persona120, 14:12:22.757426, 14:12:27.609583
Persona105, 14:12:29.717746, 14:12:29.718757
Persona128, 14:12:31.942861, 14:12:31.942861
Persona126, 14:12:36.718949, 14:12:36.718949
Persona138, 14:12:43.720652, 14:12:43.720652
Persona150, 14:12:57.720542, 14:12:57.722077
