Persona1, 14:10:10.494420, 14:10:10.494420
Persona6, 14:10:10.984465, 14:10:11.110421
Persona9, 14:10:11.696419, 14:10:16.592018
Persona11, 14:10:12.504421, 14:10:17.301550
Persona14, 14:10:14.336418, 14:10:22.407205
Persona15, 14:10:14.970422, 14:10:23.456324
Persona20, 14:10:17.950739, 14:10:29.671485
Persona28, 14:10:31.549131, 14:10:32.376133
Persona1, 14:10:33.374133, 14:10:37.140692
Persona31, 14:10:33.724130, 14:10:38.314725
Persona34, 14:10:35.103129, 14:10:43.932846
Persona36, 14:10:36.180160, 14:10:44.819842
Persona7, 14:10:45.261841, 14:10:51.661946
Persona45, 14:10:47.114843, 14:10:53.675931
Persona44, 14:10:53.516901, 14:11:02.617981
Persona46, 14:10:59.545891, 14:11:03.459088
Persona50, 14:11:03.267085, 14:11:08.470608
Persona57, 14:11:08.582142, 14:11:08.852183
Persona56, 14:11:04.232136, 14:11:13.855522
Persona59, 14:11:09.619820, 14:11:14.997074
Persona63, 14:11:10.569820, 14:11:19.670002
Persona65, 14:11:11.824270, 14:11:20.569160
Persona67, 14:11:17.503753, 14:11:25.287088
Persona69, 14:11:18.323357, 14:11:27.433783
Persona71, 14:11:24.146506, 14:11:30.890745
Persona74, 14:11:24.366504, 14:11:33.618424
Persona76, 14:11:30.874745, 14:11:36.407466
Persona77, 14:11:31.447219, 14:11:39.496684
Persona78, 14:11:33.522453, 14:11:42.460088
Persona85, 14:11:34.886462, 14:11:46.232309
Persona3, 14:11:38.692132, 14:11:47.747392
Persona19, 14:11:40.785168, 14:11:51.932669
Persona23, 14:11:42.939125, 14:11:52.748403
Persona94, 14:11:45.504141, 14:11:56.934298
Persona18, 14:11:47.701463, 14:11:57.749993
Persona4, 14:11:47.703463, 14:12:01.935577
Persona12, 14:11:47.706001, 14:12:02.751593
Persona99, 14:11:47.706985, 14:12:06.936337
Persona103, 14:11:47.747392, 14:12:07.753055
Persona112, 14:11:51.932669, 14:12:11.937839
Persona113, 14:11:52.748933, 14:12:12.754786
Persona119, 14:11:56.935177, 14:12:16.939584
Persona120, 14:11:57.751027, 14:12:17.756068
Persona121, 14:12:01.935577, 14:12:21.941010
Persona123, 14:12:02.752694, 14:12:22.757426
Persona128, 14:12:06.937430, 14:12:26.941893
Persona134, 14:12:07.753980, 14:12:27.758971
Persona135, 14:12:11.937839, 14:12:31.942861
Persona139, 14:12:12.754786, 14:12:32.759925
Persona73, 14:12:16.939584, 14:12:36.943996
Persona30, 14:12:17.756068, 14:12:37.760920
Persona35, 14:12:21.941010, 14:12:41.944999
Persona37, 14:12:22.757426, 14:12:42.762033
Persona57, 14:12:26.941893, 14:12:46.946224
Persona75, 14:12:27.758971, 14:12:47.763740
Persona84, 14:12:31.942861, 14:12:51.947292
Persona104, 14:12:32.759925, 14:12:52.765602
Persona69, 14:12:36.943996, 14:12:56.948387
Persona106, 14:12:37.760920, 14:12:57.766748
Persona110, 14:12:41.946294, 14:13:01.949406
Persona74, 14:12:42.763040, 14:13:02.767937
Persona137, 14:12:46.946730, 14:13:06.950743
Persona95, 14:12:47.765271, 14:13:07.769268
Persona5, 14:12:51.947797, 14:13:11.951833
Persona17, 14:12:52.766618, 14:13:12.770523
Persona107, 14:12:56.948387, 14:13:16.952910
Persona86, 14:12:57.767993, 14:13:17.771895
Persona117, 14:13:01.949946, 14:13:21.953799
Persona25, 14:13:02.769385, 14:13:22.773152
Persona43, 14:13:06.951751, 14:13:26.955523
Persona47, 14:13:07.770694, 14:13:27.774333
Persona55, 14:13:11.951833, 14:13:31.956443
Persona79, 14:13:12.771040, 14:13:32.775812
Persona89, 14:13:16.953918, 14:13:36.958497
Persona121, 14:13:17.772903, 14:13:37.778112
Persona97, 14:13:21.955998, 14:13:41.960403
Persona134, 14:13:22.773691, 14:13:42.779379
Persona127, 14:13:26.955523, 14:13:46.961526
Persona132, 14:13:27.774850, 14:13:47.780687
Persona141, 14:13:31.957450, 14:13:51.963046
Persona149, 14:13:32.778025, 14:13:52.782059
Persona144, 14:13:36.959512, 14:13:56.964030
