Persona7, 14:10:11.126420, 14:10:11.364425
Persona13, 14:10:13.354424, 14:10:14.105420
Persona16, 14:10:15.397487, 14:10:15.682483
Persona29, 14:10:32.376133, 14:10:32.931129
Persona38, 14:10:36.557161, 14:10:36.809160
Persona39, 14:10:36.825160, 14:10:37.061160
Persona16, 14:10:37.124693, 14:10:38.061205
Persona51, 14:10:50.748842, 14:10:51.630895
Persona53, 14:10:54.531592, 14:10:57.448931
Persona58, 14:11:01.254891, 14:11:01.825894
Persona61, 14:11:02.269934, 14:11:02.492457
Persona80, 14:11:02.523456, 14:11:04.678324
Persona73, 14:11:03.459088, 14:11:06.378483
Persona75, 14:11:10.950557, 14:11:11.155225
Persona68, 14:11:13.156220, 14:11:13.807522
Persona133, 14:11:14.600111, 14:11:15.172075
Persona28, 14:11:15.188074, 14:11:16.567718
Persona84, 14:11:19.716961, 14:11:20.048004
Persona93, 14:11:20.427121, 14:11:24.131505
Persona104, 14:11:25.890182, 14:11:26.305184
Persona106, 14:11:30.481423, 14:11:30.827701
Persona110, 14:11:31.749217, 14:11:32.272257
Persona36, 14:11:32.891216, 14:11:33.459885
Persona116, 14:11:34.427421, 14:11:35.484940
Persona118, 14:11:38.040144, 14:11:38.580134
Persona131, 14:11:39.893650, 14:11:40.419656
Persona82, 14:11:42.588099, 14:11:42.923128
Persona137, 14:11:43.210087, 14:11:44.080146
Persona140, 14:11:44.981142, 14:11:46.634098
Persona146, 14:11:47.701463, 14:11:47.701463
Persona58, 14:11:47.702461, 14:11:48.568576
Persona40, 14:11:47.705031, 14:11:50.870664
Persona133, 14:11:47.706001, 14:11:51.702571
Persona67, 14:11:47.706001, 14:11:52.569979
Persona83, 14:11:47.706985, 14:11:54.872469
Persona115, 14:11:47.707986, 14:11:55.703841
Persona90, 14:11:48.568576, 14:11:56.570985
Persona91, 14:11:50.870664, 14:11:58.873973
Persona64, 14:11:51.702571, 14:11:59.706211
Persona116, 14:11:52.570995, 14:12:00.571867
Persona2, 14:11:54.873476, 14:12:02.875231
Persona101, 14:12:00.461917, 14:12:03.707803
Persona122, 14:12:00.637812, 14:12:04.572495
Persona42, 14:12:08.703370, 14:12:08.703887
Persona48, 14:12:08.710444, 14:12:08.711453
Persona99, 14:12:11.937839, 14:12:11.937839
Persona52, 14:12:15.711029, 14:12:15.711029
Persona113, 14:12:17.756068, 14:12:17.756068
Persona102, 14:12:29.717057, 14:12:29.717057
Persona66, 14:12:36.714966, 14:12:36.715849
Persona136, 14:12:43.718641, 14:12:43.718641
Persona145, 14:12:50.720644, 14:12:50.720644
Persona148, 14:12:57.713426, 14:12:57.713426
