Persona146 14:11:04.551138, Barco Pirata, 14:11:47.701463, Montaña Rusa, 14:12:09.593669
Persona92 14:10:40.790728, Montaña Rusa, 14:11:25.367054, Montaña Rusa, 14:12:09.608118
Persona8 14:10:10.888418, Carrusel, 14:10:11.460419, Montaña Rusa, 14:12:09.640123
Persona108 14:10:49.767850, Montaña Rusa, 14:11:45.994987, Montaña Rusa, 14:12:09.641642
Persona124 14:10:57.892895, Montaña Rusa, 14:11:47.702461, Montaña Rusa, 14:12:09.643671
Persona129 14:10:59.874903, Montaña Rusa, 14:11:47.705031, Montaña Rusa, 14:12:09.670609
Persona94 14:10:41.574253, Casa del Terror, 14:11:45.504141, Montaña Rusa, 14:12:09.782943
Persona99 14:10:45.771839, Casa del Terror, 14:11:47.706985, Barco Pirata, 14:12:11.937839
Persona52 14:10:29.369499, Carrusel, 14:10:51.661946, Barco Pirata, 14:12:15.711029
Persona73 14:10:34.879126, Barco Pirata, 14:11:03.459088, Casa del Terror, 14:12:16.939584
Persona113 14:10:52.327895, Casa del Terror, 14:11:52.748933, Barco Pirata, 14:12:17.756068
Persona30 14:10:17.223545, Montaña Rusa, 14:10:33.027169, Casa del Terror, 14:12:17.756068
Persona142 14:11:03.810145, Montaña Rusa, 14:11:51.460696, Montaña Rusa, 14:12:18.465362
Persona147 14:11:04.583137, Montaña Rusa, 14:11:51.589786, Montaña Rusa, 14:12:18.480970
Persona35 14:10:18.538740, Montaña Rusa, 14:10:35.751196, Casa del Terror, 14:12:21.941010
Persona41 14:10:21.376130, Carrusel, 14:10:40.269766, Montaña Rusa, 14:12:22.706229
Persona45 14:10:23.536321, Casa del Terror, 14:10:47.114843, Carrusel, 14:12:22.706229
Persona81 14:10:37.870249, Carrusel, 14:11:54.702123, Montaña Rusa, 14:12:22.712257
Persona53 14:10:30.386177, Barco Pirata, 14:10:54.531592, Carrusel, 14:12:22.716875
Persona120 14:10:56.085892, Casa del Terror, 14:11:57.751027, Montaña Rusa, 14:12:22.757426
Persona37 14:10:19.726737, Montaña Rusa, 14:10:36.372162, Casa del Terror, 14:12:22.757426
Persona57 14:10:31.676131, Casa del Terror, 14:11:08.582142, Casa del Terror, 14:12:26.941893
Persona75 14:10:35.135130, Barco Pirata, 14:11:10.950557, Casa del Terror, 14:12:27.758971
Persona102 14:10:46.402877, Carrusel, 14:12:01.712184, Barco Pirata, 14:12:29.717057
Persona54 14:10:30.752175, Montaña Rusa, 14:10:57.654894, Carrusel, 14:12:29.717746
Persona105 14:10:48.216843, Carrusel, 14:12:01.712184, Montaña Rusa, 14:12:29.717746
Persona59 14:10:32.201130, Casa del Terror, 14:11:09.619820, Carrusel, 14:12:29.718757
Persona128 14:10:59.449897, Casa del Terror, 14:12:06.937430, Montaña Rusa, 14:12:31.942861
Persona84 14:10:38.472725, Barco Pirata, 14:11:19.716961, Casa del Terror, 14:12:31.942861
Persona104 14:10:47.700848, Barco Pirata, 14:11:25.890182, Casa del Terror, 14:12:32.759925
Persona62 14:10:32.693132, Montaña Rusa, 14:11:05.315363, Carrusel, 14:12:36.709783
Persona66 14:10:33.469129, Carrusel, 14:11:01.841894, Barco Pirata, 14:12:36.714966
Persona72 14:10:34.690127, Montaña Rusa, 14:11:06.839441, Carrusel, 14:12:36.715849
Persona76 14:10:35.198129, Casa del Terror, 14:11:30.874745, Carrusel, 14:12:36.716856
Persona77 14:10:35.261130, Casa del Terror, 14:11:31.447219, Carrusel, 14:12:36.717873
Persona126 14:10:58.526934, Carrusel, 14:12:08.712444, Montaña Rusa, 14:12:36.718949
Persona82 14:10:37.982209, Barco Pirata, 14:11:42.588099, Carrusel, 14:12:36.718949
Persona69 14:10:33.787175, Casa del Terror, 14:11:18.323357, Casa del Terror, 14:12:36.943996
Persona106 14:10:48.707839, Barco Pirata, 14:11:30.481423, Casa del Terror, 14:12:37.760920
Persona110 14:10:50.558842, Barco Pirata, 14:11:31.749217, Casa del Terror, 14:12:41.946294
Persona74 14:10:35.071129, Casa del Terror, 14:11:24.366504, Casa del Terror, 14:12:42.763040
Persona98 14:10:45.547845, Montaña Rusa, 14:11:33.856422, Carrusel, 14:12:43.711072
Persona96 14:10:43.980842, Montaña Rusa, 14:11:32.622217, Carrusel, 14:12:43.716585
Persona85 14:10:38.568762, Casa del Terror, 14:11:34.886462, Carrusel, 14:12:43.717119
Persona136 14:11:02.932979, Carrusel, 14:12:15.713113, Barco Pirata, 14:12:43.718641
Persona22 14:10:14.135420, Carrusel, 14:10:22.281204, Carrusel, 14:12:43.718641
Persona138 14:11:03.187527, Carrusel, 14:12:15.714116, Montaña Rusa, 14:12:43.720652
Persona125 14:10:58.112935, Montaña Rusa, 14:11:47.703463, Carrusel, 14:12:43.720652
Persona137 14:11:03.140065, Barco Pirata, 14:11:43.210087, Casa del Terror, 14:12:46.946730
Persona95 14:10:43.617324, Montaña Rusa, 14:11:32.352261, Casa del Terror, 14:12:47.765271
Persona33 14:10:17.840739, Carrusel, 14:10:34.579126, Carrusel, 14:12:50.712962
Persona143 14:11:04.014096, Montaña Rusa, 14:11:51.477312, Carrusel, 14:12:50.717947
Persona103 14:10:46.749847, Casa del Terror, 14:11:47.747392, Carrusel, 14:12:50.719474
Persona145 14:11:04.343138, Carrusel, 14:12:22.715644, Barco Pirata, 14:12:50.720644
Persona49 14:10:25.530322, Carrusel, 14:10:50.160847, Carrusel, 14:12:50.720644
Persona111 14:10:50.874842, Carrusel, 14:12:08.706409, Carrusel, 14:12:50.723189
Persona5 14:10:10.541425, Carrusel, 14:10:10.857419, Casa del Terror, 14:12:51.947797
Persona17 14:10:12.788424, Carrusel, 14:10:15.791489, Casa del Terror, 14:12:52.766618
Persona107 14:10:49.371845, Montaña Rusa, 14:11:45.599144, Casa del Terror, 14:12:56.948387
Persona148 14:11:04.789327, Carrusel, 14:12:29.708971, Barco Pirata, 14:12:57.713426
Persona112 14:10:51.408376, Casa del Terror, 14:11:51.932669, Carrusel, 14:12:57.713426
Persona119 14:10:55.895371, Casa del Terror, 14:11:56.935177, Carrusel, 14:12:57.719534
Persona150 14:11:05.043324, Carrusel, 14:12:29.716027, Montaña Rusa, 14:12:57.720542
Persona88 14:10:39.568728, Carrusel, 14:11:54.703130, Carrusel, 14:12:57.722077
Persona87 14:10:38.744725, Carrusel, 14:11:54.703130, Carrusel, 14:12:57.723077
Persona123 14:10:57.371034, Casa del Terror, 14:12:02.752694, Carrusel, 14:12:57.724157
Persona86 14:10:38.664729, Montaña Rusa, 14:11:47.326040, Casa del Terror, 14:12:57.767993
Persona117 14:10:54.090901, Montaña Rusa, 14:11:47.700460, Casa del Terror, 14:13:01.949946
Persona25 14:10:15.082424, Carrusel, 14:10:26.499320, Casa del Terror, 14:13:02.769385
Persona109 14:10:50.288847, Carrusel, 14:12:08.703887, Carrusel, 14:13:04.715980
Persona114 14:10:52.804909, Carrusel, 14:12:08.712444, Carrusel, 14:13:04.721509
Persona135 14:11:02.492457, Casa del Terror, 14:12:11.937839, Carrusel, 14:13:04.723025
Persona139 14:11:03.267085, Casa del Terror, 14:12:12.754786, Carrusel, 14:13:04.725044
Persona130 14:11:00.397895, Carrusel, 14:12:15.711029, Carrusel, 14:13:04.726045
Persona43 14:10:22.423204, Carrusel, 14:10:44.330887, Casa del Terror, 14:13:06.951751
Persona47 14:10:25.091321, Carrusel, 14:10:47.700848, Casa del Terror, 14:13:07.770694
Persona55 14:10:31.262126, Carrusel, 14:10:58.192935, Casa del Terror, 14:13:11.951833
Persona79 14:10:36.825160, Carrusel, 14:11:01.967894, Casa del Terror, 14:13:12.771040
Persona89 14:10:39.680728, Carrusel, 14:11:54.704140, Casa del Terror, 14:13:16.953918
Persona121 14:10:56.339894, Casa del Terror, 14:12:01.935577, Casa del Terror, 14:13:17.772903
Persona97 14:10:44.867841, Carrusel, 14:12:01.710184, Casa del Terror, 14:13:21.955998
Persona134 14:11:02.460491, Casa del Terror, 14:12:07.753980, Casa del Terror, 14:13:22.773691
Persona127 14:10:59.130906, Carrusel, 14:12:15.704499, Casa del Terror, 14:13:26.955523
Persona132 14:11:01.571895, Carrusel, 14:12:15.712039, Casa del Terror, 14:13:27.774850
Persona141 14:11:03.730097, Carrusel, 14:12:22.712257, Casa del Terror, 14:13:31.957450
Persona149 14:11:04.963328, Carrusel, 14:12:29.715012, Casa del Terror, 14:13:32.778025
Persona144 14:11:04.232136, Carrusel, 14:12:22.713272, Casa del Terror, 14:13:36.959512
