Persona2, 14:10:10.495431, 14:10:10.495431
Persona5, 14:10:10.857419, 14:10:10.984465
Persona8, 14:10:11.460419, 14:10:11.587419
Persona17, 14:10:15.791489, 14:10:16.655545
Persona22, 14:10:22.281204, 14:10:23.234322
Persona6, 14:10:31.995138, 14:11:54.701117
Persona25, 14:10:26.499320, 14:11:54.702123
Persona29, 14:11:54.701117, 14:11:54.702123
Persona33, 14:10:34.579126, 14:11:54.703130
Persona13, 14:10:39.283734, 14:11:54.703130
Persona42, 14:10:40.647726, 14:12:01.702534
Persona9, 14:10:41.025162, 14:12:01.704136
Persona43, 14:10:44.330887, 14:12:01.705148
Persona47, 14:10:47.700848, 14:12:01.706174
Persona48, 14:10:47.998845, 14:12:01.706174
Persona49, 14:10:50.160847, 14:12:08.703370
Persona52, 14:10:51.661946, 14:12:08.705399
Persona111, 14:12:08.706409, 14:12:08.710444
Persona55, 14:10:58.192935, 14:12:08.710444
Persona79, 14:11:01.967894, 14:12:08.711453
Persona41, 14:10:40.269766, 14:12:15.704499
Persona81, 14:11:54.702123, 14:12:15.711029
Persona88, 14:11:54.703130, 14:12:15.712039
Persona87, 14:11:54.703130, 14:12:15.713113
Persona89, 14:11:54.704140, 14:12:15.713113
Persona10, 14:12:01.702534, 14:12:22.706229
Persona21, 14:12:01.704136, 14:12:22.712257
Persona97, 14:12:01.710184, 14:12:22.713272
Persona102, 14:12:01.712184, 14:12:22.715644
Persona105, 14:12:01.712184, 14:12:22.716875
Persona109, 14:12:08.703887, 14:12:29.708032
Persona66, 14:11:01.841894, 14:12:29.713479
Persona34, 14:12:08.711453, 14:12:29.714494
Persona114, 14:12:08.712444, 14:12:29.717057
Persona126, 14:12:08.712444, 14:12:29.717746
Persona127, 14:12:15.704499, 14:12:36.709783
Persona130, 14:12:15.711029, 14:12:36.714966
Persona132, 14:12:15.712039, 14:12:36.715849
Persona136, 14:12:15.713113, 14:12:36.717873
Persona138, 14:12:15.714116, 14:12:36.718949
Persona45, 14:12:22.706229, 14:12:43.711072
Persona141, 14:12:22.712257, 14:12:43.716585
Persona96, 14:12:43.716585, 14:12:43.717119
Persona145, 14:12:22.715644, 14:12:43.718641
Persona53, 14:12:22.716875, 14:12:43.720652
Persona148, 14:12:29.708971, 14:12:50.711924
Persona149, 14:12:29.715012, 14:12:50.717947
Persona150, 14:12:29.716027, 14:12:50.718467
Persona54, 14:12:29.717746, 14:12:50.719474
Persona59, 14:12:29.718757, 14:12:50.721658
Persona62, 14:12:36.709783, 14:12:57.713426
Persona72, 14:12:36.715849, 14:12:57.719534
Persona76, 14:12:36.716856, 14:12:57.720542
Persona77, 14:12:36.717873, 14:12:57.721052
Persona82, 14:12:36.718949, 14:12:57.723077
Persona98, 14:12:43.711072, 14:13:04.714973
Persona144, 14:12:22.713272, 14:13:04.720983
Persona85, 14:12:43.717119, 14:13:04.721509
Persona22, 14:12:43.718641, 14:13:04.722517
Persona125, 14:12:43.720652, 14:13:04.724036
Persona33, 14:12:50.712962, 14:13:11.716667
Persona143, 14:12:50.717947, 14:13:11.722220
Persona103, 14:12:50.719474, 14:13:11.722740
Persona49, 14:12:50.720644, 14:13:11.723748
Persona111, 14:12:50.723189, 14:13:11.724760
Persona112, 14:12:57.713426, 14:13:18.718078
Persona119, 14:12:57.719534, 14:13:18.723109
Persona88, 14:12:57.722077, 14:13:18.723661
Persona87, 14:12:57.723077, 14:13:18.725181
Persona123, 14:12:57.724157, 14:13:18.726192
Persona109, 14:13:04.715980, 14:13:25.719687
Persona114, 14:13:04.721509, 14:13:25.724708
Persona135, 14:13:04.723025, 14:13:25.725214
Persona139, 14:13:04.725044, 14:13:25.726229
Persona130, 14:13:04.726045, 14:13:25.727307
